Site,Age,d13C,Material
1262,65.007366,2.16,bulk carbonate
1262,65.014902,2.01,bulk carbonate
1262,65.029976,2.14,bulk carbonate
1262,65.036565,2.07,bulk carbonate
1262,65.041258,1.86,bulk carbonate
1262,65.045952,1.83,bulk carbonate
1262,65.050645,2.04,bulk carbonate
1262,65.055339,2.01,bulk carbonate
1262,65.060032,2.09,bulk carbonate
1262,65.061597,1.98,bulk carbonate
1262,65.070984,2.01,bulk carbonate
1262,65.075677,2.02,bulk carbonate
1262,65.080371,2.01,bulk carbonate
1262,65.085065,2.12,bulk carbonate
1262,65.089758,2.14,bulk carbonate
1262,65.094452,1.94,bulk carbonate
1262,65.099145,2.02,bulk carbonate
1262,65.103839,2.09,bulk carbonate
1262,65.108532,2.04,bulk carbonate
1262,65.113226,1.95,bulk carbonate
1262,65.117919,1.87,bulk carbonate
1262,65.122613,2.00,bulk carbonate
1262,65.127306,1.81,bulk carbonate
1262,65.132,1.99,bulk carbonate
1262,65.136227,2.05,bulk carbonate
1262,65.140455,1.88,bulk carbonate
1262,65.148909,1.76,bulk carbonate
1262,65.153136,1.82,bulk carbonate
1262,65.157364,1.90,bulk carbonate
1262,65.161591,1.84,bulk carbonate
1262,65.165818,1.80,bulk carbonate
1262,65.170045,1.84,bulk carbonate
1262,65.174273,1.92,bulk carbonate
1262,65.1785,1.73,bulk carbonate
1262,65.182727,1.78,bulk carbonate
1262,65.186955,1.67,bulk carbonate
1262,65.191182,1.75,bulk carbonate
1262,65.195409,1.63,bulk carbonate
1262,65.199636,1.59,bulk carbonate
1262,65.205273,1.71,bulk carbonate
1262,65.2095,1.61,bulk carbonate
1262,65.241,1.42,bulk carbonate
1262,65.253,1.43,bulk carbonate
1262,65.265,1.70,bulk carbonate
1262,65.277,1.64,bulk carbonate
1262,65.289,1.84,bulk carbonate
1262,65.301,1.56,bulk carbonate
1262,65.313,1.29,bulk carbonate
1262,65.325,1.26,bulk carbonate
1262,65.33775,1.26,bulk carbonate
1262,65.343,1.49,bulk carbonate
1262,65.34825,1.45,bulk carbonate
1262,65.3535,1.48,bulk carbonate
1262,65.35875,1.41,bulk carbonate
1262,65.364,1.35,bulk carbonate
1262,65.36925,1.55,bulk carbonate
1262,65.3745,1.56,bulk carbonate
1262,65.37975,1.65,bulk carbonate
1262,65.385,1.55,bulk carbonate
1262,65.392,1.56,bulk carbonate
1262,65.39725,1.48,bulk carbonate
1262,65.4025,1.41,bulk carbonate
1262,65.40775,1.46,bulk carbonate
1262,65.413,1.38,bulk carbonate
