Site,Age,d13C
U1403,NA,1.91
U1404,NA,1.49
U1405,NA,1.91
U1406,NA,2.10
U1407,NA,2.07
U1408,NA,2.10
U1409,NA,2.10
U1410,NA,2.14
U1411,NA,2.22
U1412,NA,2.09
U1413,NA,2.15
U1414,NA,1.95
U1415,NA,2.06
U1416,NA,1.90
U1417,NA,1.81
U1418,NA,1.86
U1419,NA,1.91
U1420,NA,2.00
U1421,NA,1.74
U1422,NA,2.04
U1423,NA,1.79
U1424,NA,2.17
U1425,NA,2.22
U1426,NA,2.17
U1427,NA,1.94
U1428,NA,1.99
U1429,NA,1.77
U1430,NA,1.96
U1431,NA,2.07
U1432,NA,1.91
U1433,NA,2.01
U1434,NA,1.77
U1435,NA,1.94
U1436,NA,1.86
U1437,63.131,1.80
U1438,63.173,1.82
U1439,63.216,1.96
U1440,63.259,1.83
U1441,63.291,1.62
U1442,63.334,1.96
U1443,63.376,1.61
U1444,63.419,1.76
U1445,63.462,1.71
U1446,63.505,1.69
U1447,63.543,1.42
U1448,63.572,1.76
U1449,63.591,1.80
U1450,63.623,1.34
U1451,63.655,1.70
U1452,63.688,1.83
U1453,63.720,1.65
U1454,63.821,1.84
U1455,63.841,1.79
U1456,63.875,1.83
U1457,63.910,1.81
U1458,63.945,1.73
U1459,63.980,1.72
U1460,64.015,1.82
U1461,64.049,2.08
U1462,64.082,1.96
U1463,64.101,2.00
U1464,64.136,1.82
U1465,64.190,2.04
U1466,64.246,2.11
U1467,64.356,2.13
U1468,64.411,2.16
U1469,64.464,1.82
U1470,64.494,1.76
U1471,64.548,1.89
U1472,64.589,1.81
U1473,64.617,1.84
U1474,64.650,2.00
U1475,64.690,2.08
U1476,64.763,2.16
U1477,64.763,1.82
U1478,64.763,2.12
U1479,64.763,2.02
U1480,64.784,1.90
U1481,64.794,1.90
U1482,64.824,2.09
U1483,64.844,2.07
U1484,64.844,2.00
U1485,64.865,2.16
U1486,64.865,1.90
U1487,64.885,2.20
U1488,64.895,2.00
U1489,64.905,2.00
U1490,64.926,2.39
U1491,64.926,2.30
U1492,64.955,2.00
U1493,64.963,1.90
U1494,64.979,2.18
U1495,64.979,2.16
U1496,64.979,2.10
U1497,64.986,2.10
U1498,64.994,2.29
U1499,64.994,1.90
U1500,64.994,1.89
U1501,65.002,1.90
U1502,65.010,2.00
U1503,65.010,1.90
U1504,65.018,2.00
U1505,65.018,2.00
U1506,65.018,2.00
U1507,65.026,2.00
U1508,65.026,2.08
U1509,65.026,1.90
U1510,65.034,2.00
U1511,65.042,2.00
U1512,65.050,1.89
U1513,65.050,1.90
U1514,65.058,1.80
U1515,65.058,1.86
U1516,65.058,1.86
U1517,65.066,2.00
U1518,65.074,1.91
U1519,65.082,1.79
U1520,65.082,1.90
U1521,65.090,1.80
U1522,65.097,1.70
U1523,65.107,1.64
U1524,65.113,1.76
U1525,65.113,1.70
U1526,65.121,1.65
U1527,65.129,1.70
U1528,65.137,1.75
U1529,65.145,1.80
U1530,65.145,1.70
U1531,65.153,1.84
U1532,65.161,1.80
