Age,Material,d13C
64.094,bulk,2.119
64.104,bulk,2.188
64.115,bulk,2.163
64.115,bulk,2.172
64.126,bulk,2.134
64.137,bulk,2.189
64.148,bulk,2.106
64.158,bulk,2.125
64.169,bulk,2.142
64.180,bulk,2.193
64.191,bulk,2.236
64.191,bulk,2.300
64.202,bulk,2.180
64.213,bulk,2.162
64.223,bulk,2.120
64.234,bulk,2.093
64.245,bulk,2.069
64.255,bulk,2.039
64.266,bulk,2.036
64.277,bulk,2.035
64.287,bulk,2.051
64.298,bulk,2.026
64.309,bulk,2.015
64.318,bulk,2.105
64.328,bulk,2.000
64.337,bulk,2.010
64.347,bulk,2.075
64.356,bulk,1.914
64.366,bulk,2.016
64.375,bulk,2.040
64.385,bulk,1.998
64.394,bulk,2.018
64.404,bulk,2.051
64.413,bulk,1.999
64.423,bulk,2.111
64.442,bulk,2.086
64.464,bulk,2.101
64.486,bulk,2.148
64.508,bulk,2.145
64.529,bulk,2.134
64.536,bulk,2.223
64.550,bulk,2.123
64.560,bulk,2.112
64.570,bulk,2.074
64.581,bulk,1.963
64.591,bulk,1.722
64.601,bulk,1.896
64.605,bulk,2.091
64.608,bulk,2.030
64.612,bulk,2.062
64.615,bulk,2.076
64.619,bulk,2.056
64.622,bulk,2.103
64.626,bulk,2.091
64.629,bulk,2.110
64.632,bulk,2.136
64.636,bulk,2.132
64.638,bulk,2.132
64.640,bulk,2.081
64.642,bulk,2.196
64.644,bulk,2.216
64.646,bulk,2.113
64.648,bulk,2.180
64.650,bulk,2.067
64.652,bulk,2.105
64.654,bulk,2.128
64.656,bulk,2.121
64.658,bulk,2.166
64.661,bulk,2.138
64.663,bulk,2.171
64.665,bulk,2.155
64.667,bulk,2.159
64.669,bulk,2.150
64.671,bulk,2.170
64.673,bulk,2.179
64.675,bulk,2.119
64.677,bulk,2.132
64.679,bulk,2.181
64.681,bulk,2.221
64.683,bulk,2.216
64.686,bulk,2.206
64.688,bulk,2.218
64.690,bulk,2.230
64.692,bulk,2.210
64.694,bulk,2.193
64.696,bulk,2.175
64.698,bulk,2.211
64.700,bulk,2.201
64.702,bulk,2.194
64.704,bulk,2.214
64.706,bulk,2.165
64.708,bulk,2.198
64.711,bulk,2.189
64.713,bulk,2.228
64.715,bulk,2.229
64.717,bulk,2.244
64.719,bulk,2.248
64.721,bulk,2.307
64.723,bulk,2.293
64.725,bulk,2.282
64.727,bulk,2.287
64.729,bulk,2.243
64.731,bulk,2.337
64.733,bulk,2.230
64.736,bulk,2.344
64.738,bulk,2.286
64.740,bulk,2.392
64.742,bulk,2.339
64.744,bulk,2.333
64.747,bulk,2.372
64.749,bulk,2.366
64.751,bulk,2.260
64.751,bulk,2.348
64.753,bulk,2.277
64.755,bulk,2.340
64.758,bulk,2.287
64.760,bulk,2.247
64.760,bulk,2.238
64.762,bulk,2.348
64.764,bulk,2.376
64.766,bulk,2.369
64.769,bulk,2.482
64.771,bulk,2.455
64.773,bulk,2.384
64.775,bulk,2.442
64.777,bulk,2.427
64.780,bulk,2.506
64.782,bulk,2.436
64.784,bulk,2.434
64.788,bulk,2.493
64.791,bulk,2.505
64.793,bulk,2.454
64.795,bulk,2.502
64.797,bulk,2.545
64.799,bulk,2.531
64.802,bulk,2.523
64.804,bulk,2.492
64.804,bulk,2.515
64.806,bulk,2.409
64.806,bulk,2.416
64.808,bulk,2.420
64.811,bulk,2.474
64.813,bulk,2.398
64.815,bulk,2.429
64.817,bulk,2.443
64.819,bulk,2.408
64.822,bulk,2.388
64.824,bulk,2.397
64.826,bulk,2.326
64.828,bulk,2.394
64.830,bulk,2.341
64.833,bulk,2.347
64.837,bulk,2.322
64.841,bulk,2.257
64.845,bulk,2.290
64.848,bulk,2.266
64.852,bulk,2.392
64.856,bulk,2.347
64.860,bulk,2.332
64.864,bulk,2.306
64.868,bulk,2.262
64.871,bulk,2.261
64.875,bulk,2.287
64.879,bulk,2.281
64.883,bulk,2.241
64.887,bulk,2.256
64.887,bulk,2.204
64.891,bulk,2.103
64.895,bulk,2.129
64.898,bulk,2.108
64.902,bulk,2.138
64.906,bulk,2.189
64.910,bulk,2.257
64.914,bulk,2.241
64.918,bulk,2.195
64.921,bulk,2.085
64.925,bulk,2.129
64.929,bulk,2.131
64.933,bulk,2.236
64.935,bulk,2.247
64.937,bulk,2.150
64.940,bulk,2.163
64.942,bulk,2.131
64.944,bulk,2.151
64.947,bulk,2.122
64.949,bulk,2.113
64.951,bulk,2.113
64.954,bulk,2.105
64.956,bulk,2.135
64.958,bulk,2.126
64.961,bulk,2.139
64.963,bulk,2.144
64.965,bulk,2.149
64.968,bulk,2.152
64.970,bulk,2.153
64.972,bulk,2.161
64.977,bulk,2.160
64.979,bulk,2.147
64.982,bulk,2.177
64.986,bulk,2.169
64.989,bulk,2.148
64.991,bulk,2.158
64.993,bulk,2.127
64.996,bulk,2.168
64.998,bulk,2.190
65.000,bulk,2.181
65.003,bulk,2.159
65.005,bulk,2.154
65.007,bulk,2.160
65.010,bulk,2.156
65.012,bulk,2.149
65.015,bulk,2.164
65.017,bulk,2.128
65.019,bulk,2.162
65.022,bulk,2.125
65.024,bulk,2.212
65.026,bulk,2.163
65.029,bulk,2.171
65.031,bulk,2.158
65.033,bulk,2.175
65.035,bulk,2.136
65.037,bulk,2.158
65.038,bulk,2.183
65.040,bulk,2.164
65.041,bulk,2.195
65.043,bulk,2.156
65.044,bulk,2.081
65.046,bulk,2.127
65.048,bulk,2.074
65.049,bulk,2.061
65.051,bulk,2.070
65.052,bulk,2.039
65.054,bulk,2.015
65.055,bulk,1.986
65.057,bulk,2.025
65.058,bulk,2.036
65.060,bulk,2.005
65.061,bulk,2.017
65.063,bulk,2.100
65.064,bulk,2.056
65.066,bulk,2.069
65.067,bulk,2.118
65.069,bulk,2.053
65.070,bulk,2.071
65.072,bulk,2.075
65.073,bulk,2.048
65.075,bulk,2.026
65.076,bulk,2.082
65.078,bulk,2.121
65.079,bulk,2.111
65.081,bulk,2.131
65.082,bulk,2.108
65.084,bulk,2.118
65.085,bulk,2.106
65.087,bulk,2.035
65.088,bulk,2.036
65.090,bulk,2.046
65.091,bulk,2.059
65.092,bulk,2.066
65.093,bulk,2.030
65.094,bulk,2.052
65.094,bulk,2.144
65.096,bulk,2.092
65.097,bulk,2.031
65.098,bulk,2.055
65.099,bulk,2.098
65.099,bulk,2.001
65.100,bulk,2.077
65.101,bulk,2.076
65.102,bulk,2.004
65.102,bulk,2.063
65.103,bulk,2.044
65.104,bulk,2.041
65.105,bulk,2.081
65.107,bulk,2.075
65.107,bulk,2.071
65.108,bulk,2.044
65.108,bulk,2.004
65.109,bulk,2.073
65.110,bulk,2.023
65.111,bulk,2.122
65.111,bulk,1.972
65.112,bulk,2.087
65.113,bulk,2.068
65.113,bulk,2.072
65.114,bulk,2.062
65.115,bulk,2.094
65.116,bulk,2.058
65.116,bulk,2.090
65.117,bulk,2.031
65.117,bulk,2.150
65.119,bulk,2.025
65.119,bulk,2.033
65.120,bulk,2.011
65.120,bulk,2.031
65.122,bulk,2.084
65.123,bulk,2.040
