Location,Latitude,Longitude,Paleolatitude,Paleolongitude,Age,Sample Type,Method,MAT,SE,Reference
"Seymour Island, Antarctica",-64.28333333,-56.75,-63.01,-66.8,K-Pg boundary,Bivalve,Clumped isotope thermometry,7.7,3.4,"Petersen et al., 2016"
"Vega Island, Antarctic Peninsula",-64,-57.7,-63,-67,Maastrichtian,Mollusc,_18O,11.7,1.6,"Pirrie and Marshall, 1990"
"mid-Waipara River, Newzealand",-43.1,172.7,-55.83,-155.79,Maastrichtian,GDGTs,TEX86,20.64,2.5,"Taylor et al., 2018"
"Falkland Plateau, South Atlantic ocean",-51,-47,-54.46,-35.57,Maastrichtian,Planktonic foraminifera,_18O,10,2.9,"Huber et al., 1995"
"Bajada del Jagüel (BJ) shelf site, Argentina",-38.1,-68.39,-40.51,-56.76,Maastrichtian,GDGTs,TEX86,27.24,2.5,"Woelders et al., 2017"
"Algarrobo, Chile",-33.4,-71.7,-35,-58,Upper Campanian to Lower Maastrichtian,Fish tooth enamel,_18O,22.43045875,2.7,"Recalculated from Pucéat et al., 2007"
"Las Tablas, Chile",-28,-71,-30,-57,Upper Campanian to Lower Maastrichtian,Fish tooth enamel,_18O,23.70991,2.7,"Recalculated from Pucéat et al., 2007"
Southern coastal Tanzania,-8,39,-21,30,Maastrichtian,Glassy foraminifera,_18O,31,2.9,"Pearson et al.,2001"
"Wobejebato Guyot, Pacific ocean",12,164.9,0,-164,Maastrichtian,Rudist,_18O,32,1.2,"Upchurch et al., 2015"
"Jebel Rawdah, Oman",24.7,54.8,6,46,Maastrichtian,Rudist,_18O,32.5,1.6,"Upchurch et al., 2015"
Jamaica,18.1,-78,18,-78,Maastrichtian,Rudist,_18O,32,1.6,"Upchurch et al., 2015"
Israel,32,34.5,18,29,Maastrichtian,Fish tooth enamel,_18O,28.6,2.7,"Recalculated from Pucéat et al., 2007"
"Aderet 1 borehole, Israel",32,34.5,19,29,Maastrichtian,GDGTs,TEX86,28.04711243,2.5,"Recalculated from Alsenz et al., 2013"
"PAMA Quarry (Efe syncline), Israel",32,34.5,19,29,Maastrichtian,GDGTs,TEX86,26.6,2.5,"Recalculated from Alsenz et al., 2013"
Morocco,31.7,-8,23,-10,Maastrichtian,Fish tooth enamel,_18O,29.54808799,2.7,"Recalculated from Pucéat et al., 2007"
Tunisia,36,9,25,7,Maastrichtian,Fish tooth enamel,_18O,26.9,2.7,"Recalculated from Ounis et al., 2008"
"El Kef, Tunishia",36.18,8.71,25.87,7.01,Maastrichtian,Fish tooth enamel,_18O,20.7,0.33,"MacLeod et al., 2018"
"Baja CA, Rosario Fm., San Antonio del mar section 1, Mexico",31,-116.2,36,-96,Upper Campanian to Lower Maastrichtian,Planktonic foraminifera,_18O,28,2.9,"Upchurch et al., 2015"
"Corsicana Fm., Brazos River, USA",31,-97,36,-77,K-Pg boundary,GDGTs,TEX86,29.7,2.5,"Vellekoop et al., 2014"
"Mullinax_1 and Mullinax_3 cores, Falls County, Texas, USA",31,-97,36,-77,Upper Maastrichtian,Very well preserved foraminifera,_18O,28,2.9,"Upchurch et al., 2015"
"Shuqualak  Core, Mississippi, USA",33,-88.5,36,-67,Maastrichtian,GDGTs,TEX86,29.4,2.5,"Linnert et al., 2014"
"New Jersey,USA",40,-75,40,-52,Middle Maastrichtian,Fish tooth enamel,_18O,21.3,2.7,"Recalculated from Pucéat et al., 2007"
"Maastricht, The Netherlands",50.9,5.7,44,4,Maastrichtian,Fish tooth enamel,_18O,16.44426848,2.7,"Recalculated from Pucéat et al., 2007"
South Netherlands,50.9,5.7,44,4,Uppermost Maastrichtian,Mollusc,_18O,19.8,1.6,"Zakharov et al., 2006"
"Eben-Emael, Belqium",50.77,5.6,44,4.14,Upper Maastrichtian,Fish tooth enamel,_18O,20.71047537,2.7,"Recalculated from Pucéat et al., 2007"
"Nasilov, Poland",51.3,22,44,19,K-Pg boundary,Fish tooth enamel,_18O,19.5,2.7,"Recalculated from Pucéat et al., 2007"
"California, USA",,,48.4,,Maastrichtian,Fish tooth enamel,_18O,16.4,2.7,"Recalculated from Pucéat et al., 2007"
"Fox Hills, South Dakota, USA",45.5,-100.7,50,-78,"Upper, but not uppermost, Maastrichtian",Fish otolith,_18O,19,1.6,"Carpenter et al., 2003"
"Krasnoyarka Formation, Sakhalin, Russia",47.3,142.5,51,136,Maastrichtian,Mollusc,_18O,8.3,1.6,"Zakharov et al., 2006"
"Koryak Upland, Russia",60,168,70,168,Maastrichtian,Mollusc,_18O,14.66,1.6,"Zakharov et al., 2006"
"Alpha Ridge, Arctic ocean",85,-98,78,14,Upper Campanian to Lower Maastrichtian,GDGTs,TEX86,17,2.5,"Recalculated from Jenkyns et al., 2004"
