Year_after_KPg,Cooling_Forcing,Group
1,566,2.1yr
1.5,541,2.1yr
2,511,2.1yr
2.5,344.5619692,2.1yr
3,194.7752361,2.1yr
3.5,91.17040033,2.1yr
4,36.23387619,2.1yr
4.5,11.70126278,2.1yr
5,3.54819376,2.1yr
5.5,0.966840362,2.1yr
5.747,0.506260074,2.1yr
1,566,4.3yr
2,561.6436845,4.3yr
2.5,548.85,4.3yr
3,509.9957141,4.3yr
3.5,433.96,4.3yr
4,342.3928067,4.3yr
4.5,261.79,4.3yr
5,196.4159386,4.3yr
5.5,139.26,4.3yr
6,93.88448943,4.3yr
6.5,61.72,4.3yr
7,37.3917678,4.3yr
7.5,21.8134,4.3yr
8,12.33079093,4.3yr
8.5,6.5,4.3yr
9,3.409597692,4.3yr
9.5,1.732,4.3yr
10,0.868752799,4.3yr
10.37931034,0.519449595,4.3yr
1,566,10.6yr
2,561.6436845,10.6yr
3,560,10.6yr
4,548.836094,10.6yr
5,511,10.6yr
6,446.8785171,10.6yr
7,376.2774902,10.6yr
8,308.9569992,10.6yr
9,242.75163,10.6yr
10,183.6677174,10.6yr
11,133.8166212,10.6yr
12,90.4066561,10.6yr
13,56.99491462,10.6yr
14,34.16755367,10.6yr
15,19.35537095,10.6yr
16,10.69202957,10.6yr
