model,time,zooplankton biomass (Pg C),phytoplankton biomass (Pg C),mixoplankton biomass (Pg C),size mean (μm),exp
0,0.5,0.10015385,0.08929633,0.30355453,38.682323,solar effect
0,99.5,0.09210588,0.08051182,0.2978494,33.870495,solar effect
0,100.5,0.054144878,0.057395898,0.20519152,32.662785,solar effect
0,101.5,0.0007522359,0.029182771,0.13489896,45.508846,solar effect
0,102.5,0.0025578118,0.051984563,0.21794935,54.90899,solar effect
0,103.5,0.026807848,0.110279925,0.40603635,71.350365,solar effect
0,104.5,0.12074221,0.192944,0.69228625,83.19079,solar effect
0,105.5,0.18675087,0.19504175,0.6936722,73.29418,solar effect
0,106.5,0.19537131,0.17744395,0.6271389,67.21909,solar effect
0,107.5,0.1902037,0.16488433,0.5810982,63.80716,solar effect
0,108.5,0.18203408,0.15474558,0.54315567,60.436172,solar effect
0,109.5,0.17456658,0.14697233,0.5137538,57.601757,solar effect
0,110.5,0.16798322,0.14058334,0.49122384,55.264305,solar effect
0,111.5,0.16213855,0.13514066,0.47280067,53.204487,solar effect
0,112.5,0.15687953,0.13045563,0.45731145,51.421566,solar effect
0,113.5,0.15266621,0.12672353,0.4448998,49.98312,solar effect
0,114.5,0.14900056,0.12355959,0.4345482,48.788376,solar effect
0,115.5,0.14563662,0.120774716,0.42553368,47.775024,solar effect
0,116.5,0.14262117,0.11828498,0.4174355,46.877792,solar effect
0,117.5,0.13991128,0.116137564,0.41042343,46.125523,solar effect
0,118.5,0.13749638,0.1141285,0.40404424,45.38742,solar effect
0,119.5,0.13536616,0.11229975,0.39821663,44.704407,solar effect
0,120.5,0.13338524,0.11060895,0.3928864,44.0653,solar effect
0,121.5,0.13156146,0.10909133,0.38811165,43.510075,solar effect
0,122.5,0.12991686,0.10775914,0.38391376,43.055534,solar effect
0,123.5,0.12845382,0.106575325,0.3801737,42.674004,solar effect
0,124.5,0.12706186,0.10547623,0.37676227,42.349274,solar effect
0,125.5,0.12575215,0.10442898,0.37356985,42.057575,solar effect
0,126.5,0.12449076,0.103437096,0.37049943,41.788338,solar effect
0,127.5,0.123267934,0.10251565,0.36764944,41.560143,solar effect
0,128.5,0.122076556,0.10162229,0.36478817,41.2847,solar effect
0,129.5,0.120948374,0.10078275,0.3621322,41.030075,solar effect
0,130.5,0.11993772,0.10004607,0.35985345,40.82227,solar effect
0,131.5,0.11897435,0.09935004,0.35771856,40.623306,solar effect
0,132.5,0.11810978,0.09875025,0.35594046,40.49029,solar effect
0,133.5,0.117353275,0.09821848,0.3543042,40.358006,solar effect
0,134.5,0.116651624,0.09772373,0.35277593,40.231464,solar effect
0,135.5,0.11593479,0.09723715,0.3512399,40.08116,solar effect
0,136.5,0.11524924,0.0967982,0.3499251,39.957783,solar effect
0,137.5,0.11461611,0.0964115,0.34878993,39.862213,solar effect
0,138.5,0.113985844,0.0960401,0.34767944,39.768345,solar effect
0,139.5,0.113347024,0.09566362,0.34654716,39.661453,solar effect
0,140.5,0.11271856,0.095292196,0.34543705,39.555084,solar effect
0,141.5,0.11209288,0.0949287,0.34437424,39.46012,solar effect
0,142.5,0.1114588,0.09454318,0.34322974,39.349052,solar effect
0,143.5,0.110838264,0.09416878,0.34211227,39.23361,solar effect
0,144.5,0.110212095,0.09378998,0.34100348,39.12477,solar effect
0,145.5,0.109623015,0.093420714,0.33990675,39.013065,solar effect
0,146.5,0.109072566,0.093080185,0.3388952,38.90962,solar effect
0,147.5,0.10853094,0.092752345,0.33792433,38.819,solar effect
0,148.5,0.108025014,0.09244157,0.33700687,38.735626,solar effect
0,149.5,0.107553974,0.0921444,0.33614436,38.655445,solar effect
0,199.5,0.100391194,0.08694798,0.3198622,37.27716,solar effect
1,0.5,0.10015385,0.08929633,0.30355453,38.682323,solar effect
1,99.5,0.09210588,0.08051182,0.2978494,33.870495,solar effect
1,100.5,0.050506283,0.04613903,0.16611715,31.52346,solar effect
1,101.5,1.5927396e-06,0.0019803797,0.005559532,16.829391,solar effect
1,102.5,4.1363142e-11,0.0058724573,0.02043639,14.978876,solar effect
1,103.5,0.00012279002,0.016545791,0.069169044,23.767136,solar effect
1,104.5,0.01313767,0.06751603,0.27733257,34.63276,solar effect
1,105.5,0.12152216,0.18145503,0.683387,64.304794,solar effect
1,106.5,0.20424971,0.21648246,0.77536905,78.63174,solar effect
1,107.5,0.2188006,0.19843736,0.6993554,74.01445,solar effect
1,108.5,0.21597964,0.18490784,0.6458246,70.22772,solar effect
1,109.5,0.2080369,0.17340171,0.6024437,66.490456,solar effect
1,110.5,0.2005597,0.1648312,0.5702843,63.58047,solar effect
1,111.5,0.19384044,0.15808573,0.5457945,61.338734,solar effect
1,112.5,0.1872814,0.15198343,0.5246343,59.125538,solar effect
1,113.5,0.18152678,0.1468724,0.50787026,57.309166,solar effect
1,114.5,0.17657912,0.14261186,0.49411523,55.838665,solar effect
1,115.5,0.17217925,0.13895176,0.48206598,54.524773,solar effect
