time,experiment,mean ocean surface pH,surface air temperature (degrees C),temperature (C),_surT (ice-free) (C),_benT (C) [> 2000 m],_surT (C),global POC flux (mol yr-1),global POC density (mol m-2 yr-1),global POC DOM fraction,mean annual SW flux at surface (W m-2),global total PO4 (mol),global mean PO4 (mol kg-1),surface (ice-free) PO4 (mol kg-1),benthic [> 2000 m] PO4 (mol kg-1),surface PO4 (mol kg-1),global pCO2 (mol),global pCO2 (atm),global total DIC_13C (mol),global DIC_13C (o/oo),surface (ice-free) DIC_13C (o/oo),benthic [> 2000 m] DIC_13C (o/oo),surface DIC_13C (o/oo),surface - benthic DIC_13C (o/oo),label
0.5,EXP1,7.677577,22.835139,11.14195,26.407941,9.320891,26.406211,623787600000000,1.65496,0.745,248.269,285473313473e4,2.15057e-6,7.03503e-8,2.4137e-6,7.03475e-8,147557952166e6,8.34038e-4,29639478658e6,0.704,2.439,0.695,2.439,1.7440000000000002,solar effect
1.5,EXP1,7.678016,22.835149,11.141951,26.407953,9.32089,26.406223,641567500000000,1.702132,0.745,248.269,285474752044e4,2.15058e-6,7.0636e-8,2.41368e-6,7.06332e-8,14755613015e7,8.34027e-4,296392760315e5,0.704,2.526,0.696,2.526,1.8299999999999998,solar effect
10.5,EXP1,7.615274,8.990591,10.807006,19.642499,9.318305,19.256211,38938910000000,0.1033081,0.745,5.31576,285875002341e4,2.15359e-6,5.34566e-7,2.4118e-6,5.21582e-7,147964036586e6,8.36333e-4,296307676656e5,0.697,1.744,0.699,1.765,1.0659999999999998,solar effect
100.5,EXP1,7.686224,22.27485,10.669131,25.943868,8.81854,25.891609,510457400000000,1.354286,0.745,248.269,285874779441e4,2.15359e-6,4.81375e-7,2.12954e-6,4.8055e-7,14756580005e7,8.34082e-4,29390169361e6,0.991,2.689,1.287,2.69,1.403,solar effect
101.5,EXP1,7.686265,22.283265,10.671259,25.950747,8.818284,25.899182,510839100000000,1.355298,0.745,248.269,28587450804e5,2.15359e-6,4.81443e-7,2.12971e-6,4.8063e-7,147565814602e6,8.34082e-4,293891328222e5,0.992,2.691,1.288,2.692,1.4040000000000001,solar effect
102.5,EXP1,7.686347,22.291357,10.673357,25.957896,8.818047,25.906454,510575300000000,1.354598,0.745,248.269,285874298061e4,2.15359e-6,4.81538e-7,2.12988e-6,4.80727e-7,147565478868e6,8.3408e-4,293881047945e5,0.993,2.686,1.289,2.687,1.398,solar effect
103.5,EXP1,7.686301,22.299448,10.675423,25.964498,8.817829,25.913768,509276000000000,1.351151,0.745,248.269,285874551336e4,2.15359e-6,4.81777e-7,2.13007e-6,4.80976e-7,147565998799e6,8.34083e-4,293870846815e5,0.995,2.685,1.29,2.686,1.396,solar effect
104.5,EXP1,7.68638,22.307443,10.677459,25.97137,8.81763,25.921005,509822800000000,1.352602,0.745,248.269,285874200846e4,2.15359e-6,4.81783e-7,2.13026e-6,4.80989e-7,147565721627e6,8.34082e-4,293860554757e5,0.996,2.68,1.291,2.681,1.3900000000000001,solar effect
105.5,EXP1,7.686498,22.315387,10.679465,25.977449,8.817449,25.928212,509984000000000,1.35303,0.745,248.269,285874575869e4,2.15359e-6,4.81973e-7,2.13046e-6,4.81197e-7,147565258846e6,8.34079e-4,293850376407e5,0.997,2.683,1.292,2.683,1.3909999999999998,solar effect
106.5,EXP1,7.686575,22.323325,10.681442,25.982703,8.817285,25.935378,511676300000000,1.35752,0.745,248.269,285873990557e4,2.15358e-6,4.81895e-7,2.13067e-6,4.81149e-7,147565130604e6,8.34078e-4,293840374759e5,0.999,2.691,1.292,2.692,1.4000000000000001,solar effect
107.5,EXP1,7.686614,22.331041,10.683391,25.988734,8.81714,25.942325,510766200000000,1.355105,0.745,248.269,285874249806e4,2.15359e-6,4.82171e-7,2.13089e-6,4.81439e-7,147564854304e6,8.34077e-4,293830479176e5,1,2.689,1.293,2.69,1.397,solar effect
108.5,EXP1,7.686647,22.33854,10.685312,25.995235,8.817014,25.949114,511409200000000,1.356811,0.745,248.269,285873819756e4,2.15358e-6,4.82182e-7,2.13111e-6,4.81455e-7,147564752747e6,8.34076e-4,293820736624e5,1.001,2.688,1.294,2.689,1.395,solar effect
109.5,EXP1,7.686636,22.345972,10.687203,26.001888,8.816904,25.955839,509804600000000,1.352554,0.745,248.269,285873682179e4,2.15358e-6,4.82222e-7,2.13134e-6,4.81497e-7,147565100999e6,8.34078e-4,293811084539e5,1.002,2.68,1.295,2.681,1.3860000000000001,solar effect
11.5,EXP1,7.555588,1.32264,10.194919,13.548889,9.298862,12.949223,582950200000,0.001546615,0.745,43.7316,286337561327e4,2.15709e-6,1.17839e-6,2.39943e-6,1.1309e-6,148624581336e6,8.40067e-4,29573372012e6,0.728,1.363,0.71,1.406,0.696,solar effect
12.5,EXP1,7.709647,5.224608,9.908183,12.472674,9.265275,12.07894,2074477e9,5.503759,0.745,213.541,28497238737e5,2.1468e-6,8.97428e-7,2.37209e-6,8.7056e-7,147798539179e6,8.35398e-4,294995327895e5,0.928,6.392,0.744,6.337,5.593,solar effect
13.5,EXP1,7.708697,8.988682,9.920802,14.610223,9.239561,14.326095,1411457e9,3.744711,0.745,247.604,284525197252e4,2.14342e-6,7.24151e-7,2.35424e-6,7.11124e-7,147463392026e6,8.33503e-4,2949266552e7,0.903,1.051,0.77,1.068,0.29800000000000004,solar effect
14.5,EXP1,7.690674,11.676191,9.968842,16.787548,9.217617,16.555883,1095145e9,2.905511,0.745,248.269,284934878149e4,2.1465e-6,7.04507e-7,2.34232e-6,6.95537e-7,147577573077e6,8.34149e-4,294977234312e5,0.903,1.901,0.785,1.914,1.129,solar effect
15.5,EXP1,7.684146,13.285123,10.009382,18.130818,9.198164,17.929719,920767500000000,2.442872,0.745,248.269,285194532183e4,2.14846e-6,6.89082e-7,2.3329e-6,6.81922e-7,14760276584e7,8.34291e-4,295005964123e5,0.901,2.289,0.798,2.297,1.499,solar effect
16.5,EXP1,7.681864,14.403196,10.04481,19.080415,9.180384,18.894555,809787400000000,2.148433,0.745,248.269,285360038483e4,2.1497e-6,6.73995e-7,2.32499e-6,6.67865e-7,147609421447e6,8.34329e-4,295015117058e5,0.9,2.489,0.81,2.495,1.685,solar effect
17.5,EXP1,7.682093,15.248448,10.076423,19.80782,9.163396,19.628898,752337100000000,1.996013,0.745,248.269,285469994892e4,2.15053e-6,6.56917e-7,2.31748e-6,6.51381e-7,147600298958e6,8.34277e-4,295011182014e5,0.901,2.674,0.822,2.679,1.8569999999999998,solar effect
18.5,EXP1,7.682118,15.924145,10.105039,20.386018,9.146397,20.218266,713561900000000,1.893139,0.745,248.269,285544230176e4,2.15109e-6,6.38033e-7,2.31012e-6,6.33147e-7,147593406636e6,8.34238e-4,295001129367e5,0.902,2.803,0.834,2.808,1.9739999999999998,solar effect
19.5,EXP1,7.682164,16.485913,10.131201,20.871373,9.129503,20.710702,685780400000000,1.819432,0.745,248.269,2855967277e6,2.15149e-6,6.19494e-7,2.3031e-6,6.15061e-7,147588191247e6,8.34209e-4,294987988027e5,0.904,2.893,0.846,2.897,2.0509999999999997,solar effect
2.5,EXP1,7.678161,22.835153,11.141951,26.407957,9.320894,26.406227,641526000000000,1.702021,0.745,248.269,285475387365e4,2.15058e-6,7.08439e-8,2.41367e-6,7.08411e-8,147555055087e6,8.34021e-4,296390752454e5,0.705,2.587,0.696,2.587,1.8910000000000002,solar effect
20.5,EXP1,7.682014,16.964834,10.155288,21.284421,9.113351,21.132038,661770500000000,1.755732,0.745,248.269,285635473408e4,2.15178e-6,6.02655e-7,2.2964e-6,5.98643e-7,147585183409e6,8.34192e-4,294973520086e5,0.905,2.936,0.858,2.94,2.082,solar effect
